"The Triffids", "1979–1989", "Rock , Alternative , Folk rock", "The Blackeyed Susans , Red Ponies, Nick Cave and the Bad Seeds , Grinderman"
"Trilogy", "1984–1986", "Progressive rock", "Saracen"
"Tucker B's", "1994–present", "Rock", "Adam Said Galore"
"Turnstyle", "1995–present", "", "The Burton Cool Suit , When The Sky Fell , The Community Chest"
"Umpire", "2009–present", "Indie rock", "Adam Said Galore"
"Valvolux", "", "Rock", ""
"The Valentines", "1966–1970", "Rock", "AC/DC , The Winstons , The Spektors"
"The Velvet Janes", "1996–", "Rock", ""
"The Victims", "1977–1979", "Punk rock", "The Hoodoo Gurus , The Scientists"
"Over Unity (formerly Vitamin Red)", "", "", ""
"V Capri", "1984–1989", "New Wave", ""
"The Waifs", "1992–present", "Folk rock", ""
"The Waltons", "1985–1992", "", ""
"Warner, Dave", "1953(b)–present", "", "Pus , From The Suburbs"
"Wampus", "1994–1997", "Rock , Hip-Hop , Blues", "The Waifs , Zydecats , Rollerskates , The Dixie Outlaws , Storm Of Perversion , Spicy Baby Tomatoes , Lo-Key Fu , Fall Electric"
"We Are The Emergency", "2007–present", "Post Hardocre", "Reaching Koda"
"The Wednesday Society *", "", "", ""
"Will Stoker and the Embers", "2006–present", "Rock / Punk rock", ""
"Kevin Bloody Wilson", "1947(b)–present", "Comedy singer", "Dennis Bryant and the Country Club"
"The Winstons", "c. 1966", "", "merged with The Spektors to form The Valentines"
"The Woodenelves", "2004–present", "Indie rock", ""
"The Words", "2007–present", "Indie rock", ""
"Yabu Band", "2006–present", "Desert rock/ Reggae", ""
"Yummy Fur", "1991–1998", "", ""
"Yunyu", "1980(b)–present", "Roots", ""
"Zeta Theory", "2001–", "Rock", ""
"Zydecats", "1993–present", "Zydeco , Rockabilly , R&B , Roots", "Dude Ranch, Dragon , Cold Chisel , Asleep at the Wheel"
