"Dance on Broadway", "Longtail Studios AiLive", "Ubisoft", "2010", "", "✔", "✔"
"Dance Sensation!", "Alpine Studios", "Majesco Sales Inc.", "2010", "", "", "✔"
"Dancing with the Stars", "Zoë Mode", "Activision", "2007", "", "", "✔"
"Dancing with the Stars: We Dance!", "Zoë Mode", "Activision", "2008", "", "", "✔"
"The Daring Game for Girls", "Majesco", "Majesco", "2010", "", "", "✔"
"Data East Arcade Classics", "G1M2", "Majesco", "2010", "", "", "✔"
"Dave Mirra BMX Challenge", "Left Field", "Crave Entertainment", "2007", "", "✔", "✔"
"Dawn of Discovery NA Anno: Create A New World", "Keen Games", "Ubisoft", "2009", "", "✔", "✔"
"de Blob", "Blue Tongue Entertainment", "THQ", "2008", "✔", "✔", "✔"
"de Blob 2", "Blue Tongue Entertainment", "THQ Syfy Kids", "2011", "", "✔", "✔"
"Dead Rising: Chop Till You Drop", "Capcom", "Capcom", "2009", "✔", "✔", "✔"
"Dead Space: Extraction", "Visceral Games Eurocom", "Electronic Arts", "2009", "✔", "✔", "✔"
"Deadliest Catch: Sea of Chaos", "", "Crave Entertainment", "2010", "", "", "✔"
"Deadly Creatures", "Rainbow Studios", "THQ", "2009", "", "✔", "✔"
"Deal or No Deal", "Black Lantern Studios", "Zoo Games", "2009", "", "", "✔"
"Deal or No Deal: Special Edition", "Black Lantern Studios", "Zoo Games", "2010", "", "", "✔"
"Deal or No Deal: The Banker is Back", "Mad Monkey Studio", "Mindscape", "2009", "", "✔", ""
"Death Jr. II: Root of Evil", "Backbone Entertainment", "Eidos Interactive", "2008", "", "✔", "✔"
"Deca Sports", "Hudson Soft", "Hudson Soft", "2008", "✔", "✔", "✔"
"Deca Sports 2", "Hudson Soft", "Hudson Soft", "2009", "", "✔", "✔"
"Deca Sports 3", "Hudson Soft", "Hudson Soft", "2010", "", "✔", "✔"
"Deer Drive", "", "Mastiff", "2008", "", "", "✔"
"Def Jam Rapstar", "4mm Games", "Konami", "2010", "", "", "✔"
"Defenders of Law, Inc.: Crime in Willburg", "", "Gameinvest", "2008", "", "✔", ""
"Defendin' de Penguin", "Brain Toys", "Crave Entertainment", "2008", "", "✔", "✔"
"Densha de Go! Sanyo- Shinkansen EX", "", "Taito", "2007", "✔", "", ""
"Despicable Me: The Game", "Monkey Bar Games", "D3 Publisher", "2010", "", "✔", "✔"
"The Destiny of Zorro", "Pronto Games", "505 Games", "2008", "", "✔", "✔"
"Destroy All Humans! Big Willy Unleashed", "Locomotive Games", "THQ", "2008", "", "✔", "✔"
"Dewy's Adventure", "Konami", "Konami", "2007", "✔", "✔", "✔"
"Diabolik: The Original Sin", "Artematica", "Black Bean Games", "2009", "", "✔", ""
"Dirt 2 NA Colin McRae: Dirt 2", "Sumo Digital", "Codemasters", "2009", "", "✔", "✔"
"Disaster: Day of Crisis", "Monolith Soft", "Nintendo", "2008", "✔", "✔", ""
"Disney Animator", "THQ", "THQ", "TBA", "", "", "✔"
"Disney Channel All Star Party", "Page 44 Studios", "Disney Interactive", "2010", "", "✔", "✔"
"Disney Infinity", "Avalanche Software", "Disney Interactive", "2013", "", "✔", "✔"
"Disney Princess: Enchanted Journey", "", "Disney Interactive", "2007", "✔", "✔", "✔"
"Disney Princess: My Fairytale Adventure", "", "Disney Interactive", "2012", "", "✔", "✔"
"Disney Sing It", "Zoë Mode", "Disney Interactive", "2008", "", "✔", "✔"
"Disney Sing It: Family Hits", "Zoë Mode", "Disney Interactive", "2010", "", "✔", "✔"
"Disney Sing It! – High School Musical 3: Senior Year", "Zoë Mode", "Disney Interactive", "2008", "", "✔", "✔"
"Disney Sing It: Party Hits", "Zoë Mode", "Disney Interactive", "2010", "", "✔", "✔"
"Disney Sing It: Pop Hits", "Zoë Mode", "Disney Interactive", "2009", "", "✔", "✔"
"Disney Think Fast", "Magenta Software", "Disney Interactive", "2008", "✔", "✔", "✔"
"Diva Girls: Divas On Ice", "", "505 Games", "2009", "", "✔", "✔"
"Diva Girls: Princess on Ice", "", "505 Games", "2009", "", "✔", ""
